"ENROLLMENT ID - BUYER","ENROLLMENT STATE - BUYER","PROVIDER TYPE CODE - BUYER","PROVIDER TYPE TEXT - BUYER","NPI - BUYER","MULTIPLE NPI FLAG - BUYER","CCN - BUYER","ASSOCIATE ID - BUYER","ORGANIZATION NAME - BUYER","DOING BUSINESS AS NAME - BUYER","CHOW TYPE CODE","CHOW TYPE TEXT","EFFECTIVE DATE","ENROLLMENT ID - SELLER","ENROLLMENT STATE - SELLER","PROVIDER TYPE CODE - SELLER","PROVIDER TYPE TEXT - SELLER","NPI - SELLER","MULTIPLE NPI FLAG - SELLER","CCN - SELLER","ASSOCIATE ID - SELLER","ORGANIZATION NAME - SELLER","DOING BUSINESS AS NAME - SELLER"
O20120705000358,WV,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1275504508,N,513897,1052224565,WEST VIRGINIA UNIVERSITY MEDICAL CORPORATION,HARPERS FERRY FAMILY MEDICINE,CH,CHANGE OF OWNERSHIP,01/01/2023,O20130207000037,WV,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1659625739,Y,513897,8325291404,UNIVERSITY HEALTHCARE PHYSICIANS INC,HARPERS FERRY FAMILY MEDICINE
O20160119000262,CA,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1881068708,N,058636,8224930466,PLUMAS DISTRICT HOSPITAL,INDIAN VALLEY MEDICAL CLINIC,CH,CHANGE OF OWNERSHIP,02/01/2016,O20070806000389,CA,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1316143043,N,058636,4587576889,EASTERN PLUMAS HEALTH CARE DISTRICT,INDIAN VALLEY MEDICAL CLINIC
O20160215000508,KS,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1598121790,N,178593,2163656208,WILSON COUNTY HOSPITAL,CHERRYVALE FAMILY MEDICINE,CH,CHANGE OF OWNERSHIP,01/01/2016,O20151117000253,KS,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1467564039,N,703807,6204744287,MERCY KANSAS COMMUNITIES INC,CHERRYVALE FAMILY MEDICINE
O20160222002437,IL,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1205023637,N,148997,0547166076,SPRINGFIELD CLINIC LLP,SPRINGFIELD CLINIC EFFINGHAM RURAL HEALTH,CH,CHANGE OF OWNERSHIP,01/01/2016,O20090112000092,IL,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1205023637,N,148997,1052372513,MARSHALL CLINIC EFFINGHAM S C,
O20160226000944,IL,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1053508960,N,148928,0547166076,SPRINGFIELD CLINIC LLP,SPRINGFIELD CLINIC FLORA RURAL HEALTH,CH,CHANGE OF OWNERSHIP,01/01/2016,O20080117000144,IL,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1053508960,N,148928,1052372513,MARSHALL CLINIC EFFINGHAM S C,"MARSHALL CLINIC EFFINGHAM, SC - LOUISVILLE"
O20160321001269,KY,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1801261029,N,183465,7719899947,BOWLING GREEN WARREN COUNTY COMMUNITY HOSPITAL CORPORATION,MED CENTER HEALTH PRIMARY CARE MUNFORDVILLE,CH,CHANGE OF OWNERSHIP,01/01/2016,O20110324000075,KY,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1891803722,N,183465,0244138949,CAVERNA MEMORIAL HOSPITAL INC,CAVERNA MEMORIAL HOSPITAL MUNFORDVILLE PHYSICIANS OFFICE
O20160323001969,KY,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1992170112,N,183464,7719899947,BOWLING GREEN WARREN COUNTY COMMUNITY HOSPITAL CORPORATION,MED CENTER HEALTH PRIMARY CARE CAVERNA,CH,CHANGE OF OWNERSHIP,01/01/2016,O20091005000670,KY,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1336182898,N,183464,0244138949,CAVERNA MEMORIAL HOSPITAL INC,CAVERNA MEMORIAL HOSPITAL PHYSICIAN OFFICE
O20160324002267,KY,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1942666466,N,183998,7113224783,T J HEALTH COLUMBIA INC,T J HEALTH COLUMBIA PRIMARY CARE,CH,CHANGE OF OWNERSHIP,02/11/2016,O20071207000091,KY,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1932174968,N,183998,3577474667,ADAIR COUNTY HOSPITAL DISTRICT,WESTLAKE PRIMARY CARE
O20160324002276,KY,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1821454349,N,183446,7113224783,T J HEALTH COLUMBIA INC,T J HEALTH RUSSELL SPRINGS,CH,CHANGE OF OWNERSHIP,02/11/2016,O20080428000623,KY,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1831164789,N,183446,3577474667,ADAIR COUNTY HOSPITAL DISTRICT,WESTLAKE PRIMARY CARE OF RUSSELL COUNTY
O20160324002277,KY,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1831555358,N,183994,7113224783,T J HEALTH COLUMBIA INC,T J HEALTH EDMONTON,CH,CHANGE OF OWNERSHIP,02/11/2016,O20120905000708,KY,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1699740647,N,183994,3577474667,ADAIR COUNTY HOSPITAL DISTRICT,EDMONTON PRIMARY CARE
O20160325000011,KY,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1235595653,N,183970,7113224783,T J HEALTH COLUMBIA INC,T J HEALTH COLUMBIA CLINIC,CH,CHANGE OF OWNERSHIP,02/11/2016,O20090330000463,KY,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1396992970,N,183970,3577474667,ADAIR COUNTY HOSPITAL DISTRICT,WESTLAKE FAMILY PRACTICE
O20160516000496,ID,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1700206588,N,138526,2961791991,MVH BMC LLC,SHELLEY FAMILY MEDICAL CENTER,CH,CHANGE OF OWNERSHIP,05/01/2016,O20101118001266,ID,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1366542391,N,133839,4587573902,BLACKFOOT MEDICAL CLINIC INC,SHELLEY FAMILY MEDICAL CLINIC
O20160603001680,WA,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1013064575,N,508509,6800793522,PUBLIC HOSPITAL DIST NO 1 SKAGIT,SKAGIT REGIONAL HEALTH - DARRINGTON FAMILY MEDICINE,CH,CHANGE OF OWNERSHIP,06/01/2016,O20120411000901,WA,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1013064575,N,508509,1850295262,PUBLIC HOSPITAL DISTRICT 3 SNOHOMISH COUNTY,CASCADE VALLEY DARRINGTON CLINIC
O20160616001665,ID,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1467816579,N,138527,2961791991,MVH BMC LLC,BLACKFOOT MEDICAL CENTER,CH,CHANGE OF OWNERSHIP,05/01/2016,O20030304000025,ID,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1235160441,N,133831,4587573902,BLACKFOOT MEDICAL CLINIC INC,BLACKFOOT MEDICAL CENTER
O20160728001953,MT,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1275690208,N,273407,6507159514,PIONEER MEDICAL CENTER,,CH,CHANGE OF OWNERSHIP,07/01/2016,O20021016000003,MT,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1275690208,N,273407,0547178154,COUNTY OF SWEET GRASS,
O20160826001344,CA,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1275841629,N,553977,1456646629,ADVENTIST HEALTH MEDICAL CENTER TEHACHAPI,ADVENTIST HEALTH COMMUNITY CARE - TEHACHAPI,CH,CHANGE OF OWNERSHIP,11/01/2016,O20041102001291,CA,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1275841629,N,553977,5092777904,TEHACHAPI VALLEY HEALTHCARE DISTRICT,TEHACHAPI FAMILY HEALTH CENTER-MOJAVE
