title,field,description
State Drug Utilization Data Data Dictionary,utilization_type,Constant of FFSU or MCOU - The FFSU Record ID indicates that the information for this NDC represents a Fee-for-Service Utilization record. The MCOU Record ID indicates that the information for this NDC represents a Managed Care Organization Utilization record. Valid Values: 4Q2009 and earlier = Constant record of FFSU 1Q2010 and beyond = FFSU & MCOU
State Drug Utilization Data Data Dictionary,state,State Abbreviation - Two character post office abbreviation for State
State Drug Utilization Data Data Dictionary,ndc,"The National Drug Code (NDC) is a numerical code maintained by the FDA that includes the labeler code, product code, and package code. The NDC is an 11-digit code."
State Drug Utilization Data Data Dictionary,labeler_code,"NDC #1 - First segment of National Drug Code that identifies the manufacturer, labeler, relabeler, packager, repackager or distributor of the drug."
State Drug Utilization Data Data Dictionary,product_code,NDC #2 - Second segment of National Drug Code
State Drug Utilization Data Data Dictionary,package_size,NDC #3 - Third segment of National Drug Code
State Drug Utilization Data Data Dictionary,year,Calendar year covered by data.
State Drug Utilization Data Data Dictionary,quarter,Calendar quarter covered by data. Valid values: 1 = January 1 - March 31 2 = April 1 - June 30 3 = July 1 - September 30 4 = October 1 - December 31.
State Drug Utilization Data Data Dictionary,suppression_used,NA
State Drug Utilization Data Data Dictionary,product_name,Product Name as appears on FDA listing form (1st 10 characters).
State Drug Utilization Data Data Dictionary,units_reimbursed,"The total number of units (based on Unit Type) of the drug (11-digit NDC level) reimbursed by the state during the period covered. [Numeric 15 positions: 11 whole numbers, decimal (.), 3 decimals] (99999999999.999)."
State Drug Utilization Data Data Dictionary,number_of_prescriptions,The number of prescriptions reimbursed (by the Medicaid Program ONLY) to pharmacists for the (11-digit NDC) drug for the period covered. [Numeric 9 whole numbers] (999999999).
State Drug Utilization Data Data Dictionary,total_amount_reimbursed,"The total amount reimbursed by both Medicaid and non-Medicaid entities to pharmacies for the (11-digit NDC) drug in the period covered (two below fields added together). This total is not reduced or affected by Medicaid rebates paid to the state. This amount represents both the Federal and State Reimbursement and is inclusive of dispensing fees. [Numeric 15 positions: 12 whole numbers, decimal (.), 2 decimal places] (999999999999.99)."
State Drug Utilization Data Data Dictionary,medicaid_amount_reimbursed,"The amount reimbursed (by the Medicaid Program ONLY) to pharmacies for the (11-digit NDC) drug in the period covered. ([Numeric 13 positions: 10 whole numbers, decimal (.), 2 decimal places] (9999999999.99)."
State Drug Utilization Data Data Dictionary,non_medicaid_amount_reimbursed,"The amount reimbursed (by non-Medicaid entities) to pharmacies for the (11-digit NDC) drug in the period covered. The Non-Medicaid Amount Reimbursed includes any reimbursement amount for which the state is not eligible for Federal Matching Funds. [Numeric 13 positions: 10 whole numbers, decimal (.), 2 decimal places] (9999999999.99)."
NADAC Data Dictionary,ndc_description,"Identifies the drug name, strength, and dosage form of the drug product."
NADAC Data Dictionary,ndc,"The National Drug Code (NDC) is a numerical code maintained by the FDA that includes the labeler code, product code, and package code. The NDC is an 11-digit code."
NADAC Data Dictionary,nadac_per_unit,The National Average Drug Acquisition Cost per unit.
NADAC Data Dictionary,effective_date,The effective date of the NADAC Per Unit cost.
NADAC Data Dictionary,pricing_unit,"Indicates the pricing unit for the associated NDC ('ML', 'GM 'or 'EA')."
NADAC Data Dictionary,pharmacy_type_indicator,The source of pharmacy survey data used to calculate the NADAC. 'C/I' indicates data was collected from surveys of Chain/Independent pharmacies. Other pharmacy type indicators are not used at this time.
NADAC Data Dictionary,otc,Indicates whether or not the NDC is for an over-the-counter (OTC) product ('Y' or 'N').
NADAC Data Dictionary,explanation_code,"Codes that pertain to how the NADAC was calculated; see explanation code descriptions below.  Code 1: The NADAC was calculated using information from the most recently completed pharmacy survey. Code 2: The average acquisition cost of the most recent survey was within  2%of the current NADAC; therefore, the NADAC was carried forward from the previous file. Code 3: The NADAC based on survey data has been adjusted to reflect changes in published pricing, or as a result of an inquiry to the help desk. Code 4: The NADAC was carried forward from the previous file. Code 5: The NADAC was calculated based on package size. Code 6: The CMS Covered Outpatient Drug Product File drug category type of 'S/I/N' (Single Source/Innovator/Non-Innovator) has not been applied. Most 'S/I' drugs with the same strength, dosage form and route of administration were grouped together for the purpose of the NADAC calculation and 'N' drugs were also grouped together. In some cases, however, in calculating a NADAC, the CMS 'S/I/N' designation was not applied when the State Medicaid brand or generic payment practices for these drugs generally differed from the Covered Outpatient Drug Product File designation.  For example, authorized generic drugs are appropriately listed in the CMS covered outpatient drug file as I drugs for the purpose of rebates as they were approved under a New Drug Application (NDA). However, they are grouped as 'N' for the NADAC calculation since they are generally designated as generic by most State Medicaid programs for the purposes of reimbursement. Another example of this occurrence is when proprietary named drugs, approved under an Abbreviated New Drug Application (ANDA) are appropriately in the CMS Covered Outpatient Drug file as 'N' for the purpose of rebates. However, they are grouped as 'S/I' for the NADAC calculation since they are generally reimbursed as brand drugs by State Medicaid programs. Codes 7 through 10: Reserved for future use."
NADAC Data Dictionary,classification_for_rate_setting,"Indicates whether the NDC was considered brand ('B') or generic ('G') for the NADAC rate calculation process. If the NDC was considered brand ('B') and approved under an Abbreviated New Drug Application (ANDA), the indicator is shown as ('B-ANDA'). NDCs approved as biosimilar products are considered brand ('B') and will be designated as ('B-BIO')."
NADAC Data Dictionary,corresponding_generic_drug_nadac_per_unit,The NADAC for the corresponding generic drug.
NADAC Data Dictionary,corresponding_generic_drug_effective_date,"The effective date of when the Corresponding Generic Drug NADAC Per Unit is assigned to a multiple source brand drug NDC. This date may not correspond to the NADAC effective date for the generic drug due to the method by which the corresponding generic drug NADAC effective date is assigned. The corresponding generic drug NADAC effective date is the latter of the following dates: a) date of the NADAC reference file upon which the corresponding generic drug NADAC first appears, b) the current corresponding generic drug NADAC effective date plus one day - one day is added to the previous date so that there are no overlapping rate segments, or c) the NADAC Effective Date for the generic drug group. This data assignment process is necessary to eliminate the potential for applying corresponding generic drug NADACs to past claims."
NADAC Data Dictionary,as_of_date,As of date.
NADAC 2021 Data Dictionary,ndc_description,"Identifies the drug name, strength, and dosage form of the drug product."
NADAC 2021 Data Dictionary,ndc,"The National Drug Code (NDC) is a numerical code maintained by the FDA that includes the labeler code, product code, and package code. The NDC is an 11-digit code."
NADAC 2021 Data Dictionary,nadac_per_unit,The National Average Drug Acquisition Cost per unit.
NADAC 2021 Data Dictionary,effective_date,The effective date of the NADAC Per Unit cost.
NADAC 2021 Data Dictionary,pricing_unit,"Indicates the pricing unit for the associated NDC ('ML', 'GM 'or 'EA')."
NADAC 2021 Data Dictionary,pharmacy_type_indicator,The source of pharmacy survey data used to calculate the NADAC. 'C/I' indicates data was collected from surveys of Chain/Independent pharmacies. Other pharmacy type indicators are not used at this time.
NADAC 2021 Data Dictionary,otc,Indicates whether or not the NDC is for an over-the-counter (OTC) product ('Y' or 'N').
NADAC 2021 Data Dictionary,explanation_code,"Codes that pertain to how the NADAC was calculated; see explanation code descriptions below.  Code 1: The NADAC was calculated using information from the most recently completed pharmacy survey. Code 2: The average acquisition cost of the most recent survey was within  2%of the current NADAC; therefore, the NADAC was carried forward from the previous file. Code 3: The NADAC based on survey data has been adjusted to reflect changes in published pricing, or as a result of an inquiry to the help desk. Code 4: The NADAC was carried forward from the previous file. Code 5: The NADAC was calculated based on package size. Code 6: The CMS Covered Outpatient Drug Product File drug category type of 'S/I/N' (Single Source/Innovator/Non-Innovator) has not been applied. Most 'S/I' drugs with the same strength, dosage form and route of administration were grouped together for the purpose of the NADAC calculation and 'N' drugs were also grouped together. In some cases, however, in calculating a NADAC, the CMS 'S/I/N' designation was not applied when the State Medicaid brand or generic payment practices for these drugs generally differed from the Covered Outpatient Drug Product File designation.  For example, authorized generic drugs are appropriately listed in the CMS covered outpatient drug file as I drugs for the purpose of rebates as they were approved under a New Drug Application (NDA). However, they are grouped as 'N' for the NADAC calculation since they are generally designated as generic by most State Medicaid programs for the purposes of reimbursement. Another example of this occurrence is when proprietary named drugs, approved under an Abbreviated New Drug Application (ANDA) are appropriately in the CMS Covered Outpatient Drug file as 'N' for the purpose of rebates. However, they are grouped as 'S/I' for the NADAC calculation since they are generally reimbursed as brand drugs by State Medicaid programs. Codes 7 through 10: Reserved for future use."
NADAC 2021 Data Dictionary,classification_for_rate_setting,"Indicates whether the NDC was considered brand ('B') or generic ('G') for the NADAC rate calculation process. If the NDC was considered brand ('B') and approved under an Abbreviated New Drug Application (ANDA), the indicator is shown as ('B-ANDA'). NDCs approved as biosimilar products are considered brand ('B') and will be designated as ('B-BIO')."
NADAC 2021 Data Dictionary,corresponding_generic_drug_nadac_per_unit,The NADAC for the corresponding generic drug.
NADAC 2021 Data Dictionary,corresponding_generic_drug_effective_date,"The effective date of when the Corresponding Generic Drug NADAC Per Unit is assigned to a multiple source brand drug NDC. This date may not correspond to the NADAC effective date for the generic drug due to the method by which the corresponding generic drug NADAC effective date is assigned. The corresponding generic drug NADAC effective date is the latter of the following dates: a) date of the NADAC reference file upon which the corresponding generic drug NADAC first appears, b) the current corresponding generic drug NADAC effective date plus one day - one day is added to the previous date so that there are no overlapping rate segments, or c) the NADAC Effective Date for the generic drug group. This data assignment process is necessary to eliminate the potential for applying corresponding generic drug NADACs to past claims."
NADAC 2021 Data Dictionary,as_of_date,As of date
Drug Products Data Dictionary,year,NA
Drug Products Data Dictionary,quarter,NA
Drug Products Data Dictionary,labeler_name,The corporate name of the entity identified by the labeler code.
Drug Products Data Dictionary,ndc,"The National Drug Code (NDC) is a numerical code maintained by the FDA that includes the labeler code, product code, and package code. The NDC is an 11-digit code."
Drug Products Data Dictionary,labeler_code,The first segment of the National Drug Code that identifies the labeler.
Drug Products Data Dictionary,product_code,The second segment of the National Drug Code that identifies the product.
Drug Products Data Dictionary,package_size_code,The third segment of the National Drug Code that identifies the package size.
Drug Products Data Dictionary,drug_category,"This field indicates whether the drug is single source (S), innovator multiple source(I), or non- innovator multiple source (N). Valid Values: N = Non-innovator multiple source S = Single source I = Innovator multiple source"
Drug Products Data Dictionary,drug_type_indicator,This field identifies a drug as prescription (Rx) or Over-the-Counter (OTC). Valid values: 1 = Rx 2 = OTC
Drug Products Data Dictionary,termination_date,The date on which the drug was withdrawn from market or the drug's last lot expiration date.
Drug Products Data Dictionary,unit_type,One of the 8 unit types by which a drug can be dispensed. Valid Values: AHF = Injectable Anti-Hemophilic Factor CAP = Capsule SUP = Suppository GM = Gram ML = Milliliter TAB = Tablet TDP = Transdermal
Drug Products Data Dictionary,units_per_pkg_size,The total number of units in the smallest dispensable amount for the 11-digit NDC.
Drug Products Data Dictionary,fda_approval_date,The NDC or monograph approval date.
Drug Products Data Dictionary,market_date,"For S, I, and N drugs marketed under an FDA-approved application (e.g. BLA, NDA, ANDA), the earliest date the drug was first marketed under the application number by any labeler. For drugs marketed without an FDA-approved application (e.g. OTC monograph, unapproved drug), the earliest date the drug was first marketed by any labeler. For all drugs (i.e., those marketed with or without an FDA-approved application), if a drug was purchased or otherwise acquired from another labeler, the Market Date should be equal to the Market Date of the original product. Thus, the Market Date of a drug is frequently not the date on which a labeler began marketing the drug, but may be a much earlier date. If a Market Date falls on a date that is earlier than 9/30/1990, CMS will change it to 9/30/1990 in both the Medicaid Drug Rebate (MDR) system and the Drug Data Reporting for Medicaid (DDR) system since dates earlier than the start of the Drug Rebate Program have no bearing on the program. Numeric values, 8-digit field, format: MM/DD/YYYY."
