ACO_ID,ACO First Agreement Start Date,ACO_NUM
A1001,7/1/2012,A67373
A1002,4/1/2012,A38665
A1003,7/1/2012,A64796
A1004,1/1/2013,A84830
A1006,4/1/2012,A76261
A1011,4/1/2012,A39692
A1021,7/1/2012,A38596
A1023,4/1/2012,A60892
A1026,4/1/2012,A58483
A1027,4/1/2012,A61599
A1032,4/1/2012,A46707
A1033,7/1/2012,A28708
A1034,4/1/2012,A04423
A1035,4/1/2012,A84936
A1037,4/1/2012,A85439
A1041,4/1/2012,A15929
A1043,4/1/2012,A64206
A1046,7/1/2012,A14269
A1047,4/1/2012,A09903
A1050,7/1/2012,A86333
A1051,4/1/2012,A76034
A1052,7/1/2012,A05657
A1054,4/1/2012,A34299
A1056,4/1/2012,A67604
A1058,1/1/2013,A53334
A1059,4/1/2012,A51279
A1061,7/1/2012,A34178
A1063,7/1/2012,A24802
A1066,7/1/2012,A01714
A1070,7/1/2012,A33196
A1071,4/1/2012,A05273
A1072,7/1/2012,A65596
A1077,7/1/2012,A27119
A1078,4/1/2012,A65307
A1079,4/1/2012,A99401
A1080,7/1/2012,A92107
A1083,4/1/2012,A18256
A1084,4/1/2012,A70756
A1085,4/1/2012,A51059
A1092,4/1/2012,A20167
A1095,7/1/2012,A55129
A1097,7/1/2012,A30913
A1100,7/1/2012,A09897
A1109,7/1/2012,A67345
A1129,7/1/2012,A88776
A1130,7/1/2012,A47438
A1131,7/1/2012,A64629
A1137,4/1/2012,A39855
A1140,4/1/2012,A18428
A1141,4/1/2012,A82596
A1145,7/1/2012,A16226
A1148,7/1/2012,A38110
A1151,7/1/2012,A80026
A1152,7/1/2012,A61297
A1153,7/1/2012,A44053
A1154,7/1/2012,A16313
A1161,7/1/2012,A87823
A1166,7/1/2012,A89093
A1172,7/1/2012,A97325
A1175,7/1/2012,A65526
A1180,7/1/2012,A40874
A1183,7/1/2012,A39908
A1192,7/1/2012,A34413
A1193,1/1/2013,A01334
A1196,7/1/2012,A52780
A1197,7/1/2012,A15852
A1198,7/1/2012,A91882
A1199,7/1/2012,A05872
A1202,7/1/2012,A46043
A1204,7/1/2012,A10273
A1207,7/1/2012,A64218
A1209,7/1/2012,A70411
A1210,1/1/2013,A45951
A1211,7/1/2012,A12621
A1214,7/1/2012,A91115
A1215,7/1/2012,A58588
A1216,7/1/2012,A46075
A1218,7/1/2012,A52797
A1220,7/1/2012,A66733
A1221,7/1/2012,A82170
A1222,7/1/2012,A69375
A1225,7/1/2012,A98813
A1226,7/1/2012,A43014
A1229,7/1/2012,A42388
A1233,7/1/2012,A05913
A1237,7/1/2012,A10213
A1239,7/1/2012,A40070
A1240,7/1/2012,A26898
A1241,7/1/2012,A79251
A1242,7/1/2012,A62480
A1246,7/1/2012,A71891
A1247,7/1/2012,A71489
A1251,7/1/2012,A78144
